symbol,year,capital,total_liabilities,net_income,roe,roa,pe,eps,bvps,de
4141,2023,120000000,82717786,-13906393,-0.10114,-0.06444,-21.798,-2.03,13.2953,0.3296
4141,2024,120000000,54957522,-3523471,-0.02235,-0.01562,-133.9655,-0.29,12.979,0.1963
4142,2021,1500000000,1916600086,239832593,0.11782,0.06068,,1.5989,13.5709,0.6559
4142,2022,1500000000,2503340219,352319866,0.16953,0.08216,15.4255,2.35,14.1379,0.6968
4142,2023,1500000000,2584730610,518769603,0.23756,0.10974,26.763,3.46,15.0066,0.3252
4142,2024,1500000000,3187707202,816689852,0.33532,0.15348,25.2844,5.45,17.5287,0.1678
4143,2021,,,,,,,,,
4143,2022,,,,,,,,,
4143,2023,400000000,176295844,80126183,0.16574,0.12145,,2.0032,12.086,0.2211
4143,2024,400000000,177565537,82646390,0.16712,0.12308,26.7633,2.07,12.6408,0.088
4144,2021,125000000,44177837,24882353,0.23598,0.1663,,1.9906,8.4355,0.0192
4144,2022,62500000,46898631,30743382,0.28931,0.20252,22.9675,2.46,8.567,0.3473
4144,2023,62500000,45092756,46575187,0.38252,0.27764,15.6533,3.75,10.9145,0.2653
4144,2024,62500000,47357469,42855291,0.28835,0.21994,25.1304,3.45,12.8655,0.2285
4145,2021,240000000,313106813,173681580,0.41569,0.23762,,5.43,13.0567,0.5604
4145,2022,240000000,148183576,177647740,0.37255,0.2511,11.973,5.55,16.7458,0.162
4145,2023,320000000,102556767,67664553,0.11893,0.0957,26.0664,2.11,18.8123,0.067
4145,2024,320000000,143184036,1318003,0.00232,0.00184,1200,0.04,16.7669,0.156
1810,2021,3000000000,2385031350,-371535799,-0.06746,-0.04708,-13.5906,-1.27,22.9995,0.2144
1810,2022,3000000000,3098520718,-47729661,-0.00874,-0.00581,-108.875,-0.16,20.9904,0.2971
1810,2023,3000000000,4514813643,225708068,0.03764,0.02265,35.6201,0.758,24.3807,0.3443
1810,2024,3000000000,4418191919,-198975107,-0.03155,-0.01789,-33.2249,-0.676,21.5802,0.3388
1820,2021,650000000,1786105000,-173715000,-0.46692,-0.08049,-5.2747,-0.676,1.1811,4.0062
1820,2022,315000000,1776772000,-81488000,-0.24611,-0.03857,-6.8846,-0.26,0.9212,5.0913
1820,2023,315000000,1843659000,-89819000,-0.36394,-0.04368,-7.8621,-0.29,0.6458,7.4153
1820,2024,315000000,1718803000,5200000,0.02536,0.00262,123.5,0.02,0.656,6.676
1830,2021,523833610,1789248427,206020219,0.26301,0.08008,27.7149,3.9329,14.9771,1.6678
1830,2022,523833610,1759610876,254758323,0.30006,0.09711,17.284,4.86,17.4909,1.2799
1830,2023,523833610,2309455390,356244132,0.35553,0.11727,29.9118,6.8,20.7935,1.4647
1830,2024,523833610,2482610108,456978822,0.39351,0.12833,21.2371,8.73,23.5582,1.3846
4170,2021,52566930,15044425,-14036427,-0.25318,-0.19914,-62.0017,-0.0213,0.0818,0.28619561766304404689
4170,2022,578236230,19905955,-7232908,-0.02386,-0.02256,-12,-0.06,0.4763,0.03442529880910436899
4170,2023,578236230,27861255,-44196274,-0.0836,-0.07999,-15,-0.04,0.438,0
4170,2024,578236230,30612028,6367340,0.01261,0.01192,96,0.01,0.4356,0.0005
4290,2021,650000000,1388594867,-35847636,-0.05721,-0.01776,-24.7838,-0.74,9.6392,1.8586
4290,2022,650000000,1475207296,-15311505,-0.02554,-0.00747,-57.3333,-0.24,8.8045,2.0963
4290,2023,650000000,1563881547,-47680945,-0.09278,-0.02297,-35.2055,-0.73,7.0079,2.7028
4290,2024,650000000,1580573823,81067928,0.16586,0.03842,25.48,1.25,8.0311,2.4457
