symbol,distribution_date,dividend_amount
4007,2022-06-19,0.4
3030,2022-06-15,1.5
2082,2022-07-21,0.77
4347,2022-06-19,0.33
1183,2022-06-14,0.774
2270,2022-07-19,3.0
4342,2022-06-29,0.2
4014,2022-07-25,1.0
3040,2022-06-06,0.5
4345,2022-06-06,0.1
2222,2022-06-08,0.3198
4081,2022-05-30,0.75
1304,2022-06-29,0.75
4141,2022-06-29,0.75
4190,2022-05-25,2.05
4348,2022-07-03,0.125
7010,2022-05-31,1.0
9403,2022-05-23,0.0382
1830,2022-05-23,0.471
4013,2022-05-17,0.83
4333,2022-05-25,0.18
4005,2022-05-31,1.0
2250,2022-07-21,0.75
4336,2022-05-22,0.13
2250,2022-04-27,0.75
4050,2022-06-29,0.25
9403,2022-04-21,0.0301
4339,2022-05-22,0.18
2090,2022-06-09,1.0
4346,2022-05-23,0.1
4344,2022-05-12,0.1725
2150,2022-06-02,0.5
4260,2022-06-02,1.3
2320,2022-05-25,0.5
4161,2022-04-24,0.65
2330,2022-05-22,0.55
3004,2022-04-20,0.25
4162,2022-06-12,2.0
3090,2022-05-15,0.25
2030,2022-07-14,0.5
2070,2022-06-27,0.6
2080,2022-04-24,0.75
4007,2022-04-19,0.4
4144,2022-06-26,1.25
1182,2022-05-31,0.85
7203,2022-05-22,3.0
2281,2022-04-28,0.51
4324,2022-06-21,0.3
4261,2022-04-20,0.54
2222,2022-03-31,0.3518
2081,2022-03-30,1.5
4011,2022-07-28,0.25
1202,2022-06-23,1.0
8250,2022-06-02,1.0
3005,2022-05-25,0.25
1303,2022-05-17,1.0
5110,2022-06-06,0.7
1212,2022-04-28,1.5
3002,2022-04-24,0.25
2120,2022-06-15,0.75
4323,2022-05-30,0.5
4051,2022-05-23,1.75
3080,2022-04-26,1.1
1831,2022-03-29,2.0
4320,2022-03-28,0.25
3003,2022-03-30,0.5
4190,2022-03-23,1.95
4003,2022-04-28,2.5
4071,2022-05-19,1.86
4342,2022-03-30,0.2
4334,2022-03-20,0.57
1111,2022-05-23,3.0
3050,2022-04-24,1.25
2190,2022-03-27,0.4
9403,2022-03-14,0.0219
3010,2022-05-12,1.5
4280,2022-10-16,0.07
4280,2022-07-14,0.07
4280,2022-04-26,0.07
1060,2022-04-25,0.36
4012,2022-04-26,0.75
7010,2022-03-17,1.0
4150,2022-05-31,0.5
4013,2022-04-27,0.7
2040,2022-03-03,0.75
7202,2022-06-15,4.0
4001,2022-03-30,2.0
4330,2022-03-30,0.47
1830,2022-03-03,0.87
4338,2022-03-08,0.35
3040,2022-03-02,0.6
1020,2022-02-21,0.35
2050,2022-06-06,0.2
3030,2022-04-20,2.0
1301,2022-02-21,0.45
4340,2022-02-27,0.28
7200,2022-03-14,1.0
4348,2022-03-24,0.125
9403,2022-02-13,0.0533
1180,2022-04-26,0.9
4700,2022-02-21,0.25
4333,2022-02-10,0.12
4321,2022-02-14,0.75
