symbol,year,capital,total_liabilities,net_income,roe,roa,pe,eps,bvps,de,earnings_yield
2310,2023,7333333000.0000,5601573000.0000,1174994000.0000,0.0749,0.0517,21.2812,1.600000,21.230800,0.174700,0.04698983
2310,2024,7333333000.0000,5111792000.0000,426139000.0000,0.0277,0.0198,42.8966,0.580000,20.780700,0.148200,0.02331187
2330,2021,2164734000.0000,1934729000.0000,815395000.0000,0.2184,0.1384,18.7075,3.136000,14.375000,0.284600,0.05345450
2330,2022,2600000000.0000,4619868000.0000,294501000.0000,0.0845,0.0417,37.4449,1.135000,12.459700,1.223700,0.02670591
2330,2023,2600000000.0000,7865375000.0000,171061000.0000,0.0529,0.0174,59.2424,0.660000,12.423400,2.194800,0.01687980
2330,2024,2600000000.0000,9408300000.0000,-259180000.0000,-0.0849,-0.0215,-32.1000,-1.000000,11.049400,2.953400,
2350,2021,15000000000.0000,16427355000.0000,2390616000.0000,0.1452,0.0727,10.7044,1.590000,10.979500,0.812300,0.09341953
2350,2022,15000000000.0000,12795951000.0000,-1243890000.0000,-0.0779,-0.0407,-16.4578,-0.830000,10.318200,0.650700,
2350,2023,15000000000.0000,13396718000.0000,-2136474000.0000,-0.1486,-0.0778,-7.7183,-1.420000,8.856100,0.765600,
2350,2024,15000000000.0000,13366443000.0000,-1803717000.0000,-0.1455,-0.0700,-5.8500,-1.200000,7.668600,0.728400,
2360,2021,150000000.0000,36482403.0000,-2055341.0000,-0.0074,-0.0066,-549.2857,-0.140000,18.462300,0.017400,
2360,2022,150000000.0000,33045314.0000,-8762676.0000,-0.0321,-0.0285,-67.4138,-0.580000,17.902300,0.022700,
2360,2023,150000000.0000,30258143.0000,-59140066.0000,-0.2472,-0.2183,-12.1320,-3.940000,13.991600,0.032600,
2360,2024,150000000.0000,52919528.0000,-108445350.0000,-0.6954,-0.5490,-5.2766,-7.230000,6.802400,0.262600,
3002,2021,1700000000.0000,421583000.0000,165546000.0000,0.0849,0.0698,18.6186,0.970000,11.466200,0.144600,0.05370973
3002,2022,1700000000.0000,429785000.0000,112809000.0000,0.0577,0.0474,18.2727,0.660000,11.543300,0.144100,0.05472645
3002,2023,1700000000.0000,503954000.0000,55162000.0000,0.0280,0.0227,35.6875,0.320000,11.612100,0.172700,0.02802102
3002,2024,1700000000.0000,434378000.0000,68429000.0000,0.0341,0.0276,22.6750,0.400000,12.013600,0.146600,0.04410143
3003,2021,1400000000.0000,125870945.0000,160280269.0000,0.0876,0.0819,19.7719,1.140000,13.072300,0.002800,0.05057683
3003,2022,1400000000.0000,122148587.0000,115010427.0000,0.0630,0.0590,24.3902,0.820000,12.993500,0.002100,0.04100007
3003,2023,1400000000.0000,88035682.0000,82001085.0000,0.0456,0.0431,35.1525,0.590000,12.687000,0.001300,0.02844748
3003,2024,1400000000.0000,99685045.0000,144119933.0000,0.0807,0.0767,17.6699,1.030000,12.822400,0.000900,0.05659342
3004,2021,1800000000.0000,1050856987.0000,106062313.0000,0.0480,0.0325,22.7458,0.590000,12.273800,0.372900,0.04396416
3004,2022,1800000000.0000,1178538927.0000,112023420.0000,0.0505,0.0336,17.3871,0.620000,12.380100,0.394700,0.05751390
3004,2023,1800000000.0000,1277206456.0000,56259215.0000,0.0252,0.0162,34.0000,0.310000,12.445000,0.427000,0.02941176
3004,2024,1800000000.0000,1309958732.0000,100799650.0000,0.0449,0.0285,16.5179,0.560000,12.512300,0.434500,0.06054038
3005,2021,550000000.0000,442478624.0000,81436401.0000,0.1082,0.0682,15.9189,1.480000,13.681800,0.490100,0.06281841
3005,2022,550000000.0000,418083601.0000,22986944.0000,0.0304,0.0194,39.7619,0.420000,13.857100,0.418700,0.02514970
3005,2023,550000000.0000,418432386.0000,3951063.0000,0.0052,0.0033,243.1429,0.070000,13.927900,0.409500,0.00411281
3005,2024,550000000.0000,370612317.0000,47719184.0000,0.0604,0.0403,21.4023,0.870000,14.792600,0.342200,0.04672395
3007,2021,150000000.0000,265355654.0000,64571683.0000,0.2139,0.1138,19.8374,2.870000,13.418100,0.749200,0.05040983
3007,2022,225000000.0000,288541337.0000,15739163.0000,0.0527,0.0273,44.7143,0.700000,13.145100,0.859200,0.02236421
3007,2023,225000000.0000,291337394.0000,33873193.0000,0.1107,0.0569,24.4702,1.510000,14.048700,0.793800,0.04086603
3007,2024,225000000.0000,265269508.0000,12077393.0000,0.0393,0.0206,60.0000,0.540000,13.238400,0.753100,0.01666667
3008,2021,113022000.0000,47281074.0000,8586814.0000,0.0642,0.0474,90.7792,0.038500,0.591800,0.272000,0.01101574
3008,2022,113022000.0000,66439559.0000,1709762.0000,0.0127,0.0089,59.2500,0.030000,0.598200,0.353900,0.01687764
3008,2023,113022000.0000,169684582.0000,-4138744.0000,-0.0311,-0.0165,-133.0000,-0.020000,0.579700,1.101400,
3008,2024,113022000.0000,175205423.0000,-19004824.0000,-0.1563,-0.0646,-32.2500,-0.080000,0.496000,1.197800,
3010,2021,1000000000.0000,599784000.0000,161520000.0000,0.0587,0.0471,23.3333,1.620000,27.496900,0.095100,0.04285720
3010,2022,1000000000.0000,557987000.0000,181006000.0000,0.0672,0.0539,18.5359,1.810000,26.352600,0.089700,0.05394936
3010,2023,1000000000.0000,472654000.0000,139633000.0000,0.0536,0.0435,24.6071,1.400000,25.731100,0.058600,0.04063868
3010,2024,1000000000.0000,433745000.0000,160097000.0000,0.0623,0.0514,16.2500,1.600000,25.654100,0.035000,0.06153846
3020,2021,2025000000.0000,1642813468.0000,153665412.0000,0.0359,0.0259,34.2105,0.760000,21.135700,0.275900,0.02923079
3020,2022,2025000000.0000,1699548778.0000,355798550.0000,0.0797,0.0580,15.3409,1.760000,22.969200,0.238300,0.06518522
3020,2023,2025000000.0000,1749432045.0000,304251843.0000,0.0648,0.0474,22.7667,1.500000,23.374400,0.279700,0.04392380
3020,2024,2025000000.0000,2473498785.0000,420705984.0000,0.0879,0.0610,16.8510,2.080000,23.917700,0.370200,0.05934366
3030,2021,1530000000.0000,958971000.0000,331920000.0000,0.1364,0.0979,25.2535,2.170000,15.903900,0.153500,0.03959847
3030,2022,1530000000.0000,984639000.0000,398838000.0000,0.1688,0.1196,19.5402,2.610000,14.986700,0.151600,0.05117655
3030,2023,1530000000.0000,1054821000.0000,381027000.0000,0.1712,0.1174,21.1245,2.490000,14.113100,0.206400,0.04733840
3030,2024,1530000000.0000,896439000.0000,421874000.0000,0.1918,0.1329,15.4529,2.760000,14.643900,0.133400,0.06471277
3040,2021,900000000.0000,287784082.0000,291872242.0000,0.1685,0.1445,23.3642,3.240000,19.246400,0.001200,0.04280052
3040,2022,900000000.0000,261651061.0000,130512557.0000,0.0768,0.0661,42.1379,1.450000,18.497500,0.000900,0.02373161
3040,2023,900000000.0000,225505013.0000,141970722.0000,0.0875,0.0761,40.3165,1.580000,17.547800,0.000400,0.02480374
3040,2024,1105590000.0000,373019979.0000,301349338.0000,0.1388,0.1220,17.6510,2.980000,25.182100,0.003200,0.05665401
3050,2021,1400000000.0000,818252446.0000,429150690.0000,0.1347,0.1072,22.8339,3.070000,22.760500,0.103100,0.04379453
3050,2022,1400000000.0000,666219811.0000,300708182.0000,0.0941,0.0764,23.7209,2.150000,22.897100,0.079000,0.04215692
3050,2023,1400000000.0000,797170962.0000,195401445.0000,0.0602,0.0491,30.3929,1.400000,23.472900,0.110300,0.03290242
3050,2024,1400000000.0000,1056891312.0000,243746337.0000,0.0732,0.0573,19.8276,1.740000,24.081900,0.192500,0.05043475
3060,2021,1575000000.0000,565646762.0000,159556334.0000,0.0571,0.0470,35.8416,1.010000,17.745000,0.101100,0.02790054
3060,2022,1575000000.0000,580596601.0000,215407476.0000,0.0774,0.0639,26.0584,1.370000,17.579000,0.061800,0.03837534
3060,2023,1575000000.0000,715545913.0000,119921196.0000,0.0443,0.0357,45.3289,0.760000,16.838100,0.157500,0.02206098
3060,2024,1575000000.0000,644590239.0000,157120485.0000,0.0598,0.0475,24.3000,1.000000,16.546600,0.122200,0.04115226
3080,2021,860000000.0000,382463000.0000,192847000.0000,0.0803,0.0693,18.3891,2.390000,27.933300,0.002300,0.05438004
3080,2022,860000000.0000,494777000.0000,143300000.0000,0.0600,0.0507,24.1018,1.670000,27.598000,0.003000,0.04149068
3080,2023,860000000.0000,456105000.0000,196492000.0000,0.0825,0.0688,16.7105,2.280000,27.767500,0.002800,0.05984261
3080,2024,860000000.0000,470836000.0000,247883000.0000,0.1059,0.0884,11.9444,2.880000,26.670200,0.002600,0.08372124
3090,2021,900000000.0000,462684363.0000,17757321.0000,0.0140,0.0103,88.6294,0.197000,14.082700,0.217300,0.01128294
